"DEPARTURES_PERFORMED","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","QUARTER",
3.00,"LAX","Los Angeles, CA","ANC","Anchorage, AK",2,
3.00,"LAX","Los Angeles, CA","JFK","New York, NY",2,
3.00,"HNL","Honolulu, HI","ONT","Ontario, CA",1,
3.00,"LAS","Las Vegas, NV","BUR","Burbank, CA",1,
3.00,"CLE","Cleveland, OH","LAX","Los Angeles, CA",2,
3.00,"AUS","Austin, TX","SJC","San Jose, CA",1,
3.00,"SEA","Seattle, WA","OAK","Oakland, CA",1,
3.00,"LAX","Los Angeles, CA","AFW","Dallas/Fort Worth, TX",2,
3.00,"BFL","Bakersfield, CA","ONT","Ontario, CA",2,
3.00,"SFO","San Francisco, CA","JFK","New York, NY",1,
3.00,"ACV","Arcata/Eureka, CA","SMF","Sacramento, CA",3,
3.00,"EWR","Newark, NJ","LAX","Los Angeles, CA",3,
3.00,"IND","Indianapolis, IN","ONT","Ontario, CA",3,
3.00,"OAK","Oakland, CA","LAX","Los Angeles, CA",3,
3.00,"OAK","Oakland, CA","PDX","Portland, OR",3,
3.00,"OAK","Oakland, CA","SEA","Seattle, WA",3,
3.00,"ONT","Ontario, CA","MEM","Memphis, TN",3,
3.00,"PDX","Portland, OR","OAK","Oakland, CA",3,
3.00,"PHX","Phoenix, AZ","LGB","Long Beach, CA",3,
3.00,"ANC","Anchorage, AK","LAX","Los Angeles, CA",4,
3.00,"SLC","Salt Lake City, UT","SJC","San Jose, CA",3,
3.00,"ABQ","Albuquerque, NM","OAK","Oakland, CA",3,
3.00,"ABQ","Albuquerque, NM","OAK","Oakland, CA",3,
3.00,"IND","Indianapolis, IN","ONT","Ontario, CA",3,
3.00,"MEM","Memphis, TN","SJC","San Jose, CA",3,
3.00,"OAK","Oakland, CA","SEA","Seattle, WA",3,
3.00,"ONT","Ontario, CA","IND","Indianapolis, IN",3,
3.00,"ONT","Ontario, CA","SBA","Santa Barbara, CA",3,
3.00,"SEA","Seattle, WA","OAK","Oakland, CA",3,
3.00,"SJC","San Jose, CA","MEM","Memphis, TN",3,
3.00,"SMF","Sacramento, CA","ZXC","Gasquet, CA",3,
3.00,"KOA","Kona, HI","LAX","Los Angeles, CA",3,
3.00,"CLT","Charlotte, NC","SFO","San Francisco, CA",4,
3.00,"LAX","Los Angeles, CA","PHL","Philadelphia, PA",4,
3.00,"PHL","Philadelphia, PA","LAX","Los Angeles, CA",4,
3.00,"SFO","San Francisco, CA","CLT","Charlotte, NC",4,
3.00,"BFL","Bakersfield, CA","ONT","Ontario, CA",2,
3.00,"SBP","San Luis Obispo, CA","MFR","Medford, OR",3,
3.00,"SJC","San Jose, CA","SLC","Salt Lake City, UT",3,
3.00,"SNA","Santa Ana, CA","SEA","Seattle, WA",2,
3.00,"EWR","Newark, NJ","LAX","Los Angeles, CA",2,
3.00,"SJC","San Jose, CA","IAH","Houston, TX",1,
3.00,"SNA","Santa Ana, CA","LAX","Los Angeles, CA",1,
3.00,"MEM","Memphis, TN","SJC","San Jose, CA",2,
3.00,"LAX","Los Angeles, CA","AFW","Dallas/Fort Worth, TX",1,
3.00,"ORD","Chicago, IL","SMF","Sacramento, CA",2,
3.00,"SFO","San Francisco, CA","JFK","New York, NY",2,
3.00,"MTJ","Montrose/Delta, CO","LAX","Los Angeles, CA",1,
3.00,"DEN","Denver, CO","SAN","San Diego, CA",2,
3.00,"SJC","San Jose, CA","OAK","Oakland, CA",1,
3.00,"SEA","Seattle, WA","PSP","Palm Springs, CA",2,
3.00,"SNA","Santa Ana, CA","PDX","Portland, OR",1,
3.00,"DEN","Denver, CO","MRY","Monterey, CA",1,
3.00,"OAK","Oakland, CA","ABQ","Albuquerque, NM",2,
3.00,"BOS","Boston, MA","SFO","San Francisco, CA",1,
3.00,"DEN","Denver, CO","SFO","San Francisco, CA",1,
3.00,"ONT","Ontario, CA","LAS","Las Vegas, NV",1,
3.00,"MSP","Minneapolis, MN","SFO","San Francisco, CA",1,
3.00,"PIT","Pittsburgh, PA","LAX","Los Angeles, CA",1,
3.00,"SFO","San Francisco, CA","LAS","Las Vegas, NV",2,
3.00,"CLT","Charlotte, NC","SMF","Sacramento, CA",2,
3.00,"SNA","Santa Ana, CA","MSP","Minneapolis, MN",1,
3.00,"PSP","Palm Springs, CA","MSP","Minneapolis, MN",1,
3.00,"SAN","San Diego, CA","JFK","New York, NY",1,
3.00,"SMF","Sacramento, CA","SEA","Seattle, WA",2,
3.00,"OAK","Oakland, CA","SEA","Seattle, WA",2,
3.00,"BFI","Seattle, WA","LAX","Los Angeles, CA",3,
3.00,"LAX","Los Angeles, CA","SEA","Seattle, WA",3,
3.00,"OAK","Oakland, CA","SEA","Seattle, WA",3,
3.00,"SEA","Seattle, WA","OAK","Oakland, CA",3,
3.00,"SAN","San Diego, CA","MKE","Milwaukee, WI",3,
3.00,"SFO","San Francisco, CA","BOS","Boston, MA",3,
3.00,"LAX","Los Angeles, CA","MIA","Miami, FL",3,
3.00,"MIA","Miami, FL","LAX","Los Angeles, CA",3,
3.00,"IND","Indianapolis, IN","LAX","Los Angeles, CA",4,
3.00,"IND","Indianapolis, IN","ONT","Ontario, CA",4,
3.00,"LAX","Los Angeles, CA","MEM","Memphis, TN",4,
3.00,"MEM","Memphis, TN","LAX","Los Angeles, CA",4,
3.00,"OAK","Oakland, CA","SEA","Seattle, WA",4,
3.00,"SEA","Seattle, WA","OAK","Oakland, CA",4,
3.00,"SJC","San Jose, CA","TOL","Toledo, OH",2,
3.00,"BFI","Seattle, WA","SJC","San Jose, CA",3,
3.00,"SJC","San Jose, CA","PDX","Portland, OR",3,
3.00,"LAX","Los Angeles, CA","PHX","Phoenix, AZ",4,
3.00,"OAK","Oakland, CA","PDX","Portland, OR",4,
3.00,"ONT","Ontario, CA","SBA","Santa Barbara, CA",4,
3.00,"PDX","Portland, OR","OAK","Oakland, CA",4,
3.00,"PHX","Phoenix, AZ","IPL","El Centro, CA",4,
3.00,"SBP","San Luis Obispo, CA","SMX","Santa Maria, CA",4,
3.00,"SEA","Seattle, WA","OAK","Oakland, CA",4,
3.00,"SEA","Seattle, WA","OAK","Oakland, CA",4,
3.00,"SMF","Sacramento, CA","ACV","Arcata/Eureka, CA",4,
3.00,"SMF","Sacramento, CA","XXY","Fortuna, CA",4,
3.00,"SWF","Newburgh/Poughkeepsie, NY","LAX","Los Angeles, CA",4,
3.00,"SDF","Louisville, KY","ONT","Ontario, CA",2,
3.00,"SNA","Santa Ana, CA","ATL","Atlanta, GA",2,
3.00,"PHX","Phoenix, AZ","OAK","Oakland, CA",2,
3.00,"PHX","Phoenix, AZ","OAK","Oakland, CA",2,
3.00,"PHX","Phoenix, AZ","OAK","Oakland, CA",2,
3.00,"OAK","Oakland, CA","BUR","Burbank, CA",2,
3.00,"IAD","Washington, DC","SMF","Sacramento, CA",2,
3.00,"SMF","Sacramento, CA","OAK","Oakland, CA",1,
3.00,"DEN","Denver, CO","LGB","Long Beach, CA",1,
3.00,"CVG","Cincinnati, OH","LAX","Los Angeles, CA",2,
3.00,"LAX","Los Angeles, CA","IAH","Houston, TX",1,
3.00,"DEN","Denver, CO","LAX","Los Angeles, CA",1,
3.00,"EWR","Newark, NJ","SFO","San Francisco, CA",2,
3.00,"LAX","Los Angeles, CA","LAS","Las Vegas, NV",2,
3.00,"LAX","Los Angeles, CA","LAS","Las Vegas, NV",2,
3.00,"HNL","Honolulu, HI","LAX","Los Angeles, CA",1,
3.00,"IAD","Washington, DC","SFO","San Francisco, CA",1,
3.00,"IAD","Washington, DC","SMF","Sacramento, CA",1,
3.00,"BUR","Burbank, CA","SFO","San Francisco, CA",1,
3.00,"CLE","Cleveland, OH","SFO","San Francisco, CA",2,
3.00,"IAH","Houston, TX","SFO","San Francisco, CA",2,
3.00,"DEN","Denver, CO","BUR","Burbank, CA",1,
3.00,"DEN","Denver, CO","BUR","Burbank, CA",1,
3.00,"PHX","Phoenix, AZ","LAX","Los Angeles, CA",2,
3.00,"LAS","Las Vegas, NV","LAX","Los Angeles, CA",2,
3.00,"HOU","Houston, TX","LAX","Los Angeles, CA",2,
3.00,"ACV","Arcata/Eureka, CA","SMF","Sacramento, CA",2,
3.00,"SMF","Sacramento, CA","CIC","Chico, CA",1,
3.00,"OAK","Oakland, CA","BUR","Burbank, CA",1,
3.00,"LAX","Los Angeles, CA","EWR","Newark, NJ",1,
3.00,"PHX","Phoenix, AZ","LAX","Los Angeles, CA",1,
3.00,"ATL","Atlanta, GA","ONT","Ontario, CA",1,
3.00,"JFK","New York, NY","SAN","San Diego, CA",2,
3.00,"SJC","San Jose, CA","PDX","Portland, OR",2,
3.00,"ORD","Chicago, IL","LAX","Los Angeles, CA",2,
3.00,"CVG","Cincinnati, OH","SFO","San Francisco, CA",4,
3.00,"KOA","Kona, HI","LAX","Los Angeles, CA",4,
3.00,"ONT","Ontario, CA","SDF","Louisville, KY",4,
3.00,"LAX","Los Angeles, CA","MIA","Miami, FL",4,
3.00,"EWR","Newark, NJ","SNA","Santa Ana, CA",4,
3.00,"IAH","Houston, TX","ONT","Ontario, CA",4,
3.00,"LAX","Los Angeles, CA","DTW","Detroit, MI",2,
3.00,"ONT","Ontario, CA","IND","Indianapolis, IN",2,
3.00,"DEN","Denver, CO","LAX","Los Angeles, CA",2,
3.00,"BUR","Burbank, CA","SEA","Seattle, WA",1,
3.00,"LAX","Los Angeles, CA","CLE","Cleveland, OH",2,
3.00,"PHX","Phoenix, AZ","SNA","Santa Ana, CA",3,
3.00,"PSP","Palm Springs, CA","SEA","Seattle, WA",2,
3.00,"AUS","Austin, TX","LAX","Los Angeles, CA",2,
3.00,"LAX","Los Angeles, CA","ORD","Chicago, IL",1,
3.00,"LAS","Las Vegas, NV","SFO","San Francisco, CA",2,
3.00,"LAS","Las Vegas, NV","SFO","San Francisco, CA",2,
3.00,"PDX","Portland, OR","BUR","Burbank, CA",2,
3.00,"CVG","Cincinnati, OH","LAX","Los Angeles, CA",1,
3.00,"CVG","Cincinnati, OH","LAX","Los Angeles, CA",1,
3.00,"LAX","Los Angeles, CA","SAN","San Diego, CA",2,
3.00,"SFO","San Francisco, CA","IAH","Houston, TX",2,
3.00,"SFO","San Francisco, CA","JFK","New York, NY",2,
3.00,"SLC","Salt Lake City, UT","SNA","Santa Ana, CA",1,
3.00,"OAK","Oakland, CA","BOI","Boise, ID",1,
3.00,"BUR","Burbank, CA","SEA","Seattle, WA",1,
3.00,"RNO","Reno, NV","MHR","Sacramento, CA",1,
3.00,"SFO","San Francisco, CA","BOS","Boston, MA",1,
3.00,"JFK","New York, NY","LAX","Los Angeles, CA",2,
3.00,"JFK","New York, NY","LAX","Los Angeles, CA",2,
3.00,"SAN","San Diego, CA","TUS","Tucson, AZ",1,
3.00,"SAN","San Diego, CA","DTW","Detroit, MI",1,
3.00,"JFK","New York, NY","SFO","San Francisco, CA",3,
3.00,"LAS","Las Vegas, NV","SFO","San Francisco, CA",3,
3.00,"MCO","Orlando, FL","SFO","San Francisco, CA",3,
3.00,"ORD","Chicago, IL","LAX","Los Angeles, CA",3,
3.00,"PHL","Philadelphia, PA","LAX","Los Angeles, CA",3,
3.00,"SFO","San Francisco, CA","JFK","New York, NY",3,
3.00,"SFO","San Francisco, CA","PIT","Pittsburgh, PA",3,
3.00,"AUS","Austin, TX","OAK","Oakland, CA",3,
